Artikelnummer,Attributname,Attributwert,Source_URL,Confidence,Verified_At
MS120-8-HW,Switch-Typ,Managed,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Layer,L2,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Portanzahl,8,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Port-Konfiguration,8× 1G-RJ45,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Port-Geschwindigkeit,1G,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Uplink-Ports,2× SFP (1G),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,PoE,Nein,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Switching-Kapazität,20 Gbit/s,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Durchsatz,"14,88 Mpps",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Bauform,"Kompakt-Gehäuse (lüfterlos, geringe Bautiefe)",https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Stromversorgung,Netzteil modellabhängig (intern bzw. externes Steckernetzteil bei den 8-Port-Modellen),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Kühlung,Passiv (lüfterlos),https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Stacking,Nein,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
MS120-8-HW,Betriebstemperatur,0 bis 45 °C,https://documentation.meraki.com/Switching/MS_-_Switches/Product_Information/Overviews_and_Datasheets/MS120_Overview_and_Specifications,datasheet,2026-06-28T14:58:47Z
